"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","HID Data","Info"
"19","0.318599","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"21","0.319590","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"23","0.323591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"25","0.327591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"27","0.328590","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"29","0.333591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"31","0.337590","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"33","0.338590","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"35","0.341591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"37","0.345591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"39","0.346590","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"41","0.349590","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"43","0.352591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"45","0.353590","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"47","0.356593","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"49","0.359592","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"51","0.360591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"53","0.363591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"55","0.367591","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"57","0.370591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"59","0.371591","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"61","0.372591","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"63","0.375592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"65","0.376592","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"67","0.378591","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"69","0.379592","7.3.1","host","USB","72","","0000000001000000","URB_INTERRUPT in"
"71","0.380591","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"73","0.381592","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"75","0.382592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"77","0.383591","7.3.1","host","USB","72","","0000010002000000","URB_INTERRUPT in"
"79","0.384592","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"81","0.385592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"83","0.386592","7.3.1","host","USB","72","","0000010002000000","URB_INTERRUPT in"
"85","0.387592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"87","0.388592","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"89","0.389592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"91","0.390593","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"93","0.391592","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"95","0.392593","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"97","0.393593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"99","0.394592","7.3.1","host","USB","72","","0000010001000000","URB_INTERRUPT in"
"101","0.395592","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"103","0.396593","7.3.1","host","USB","72","","0000020001000000","URB_INTERRUPT in"
"105","0.397593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"107","0.398592","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"109","0.399592","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"111","0.400592","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"113","0.401593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"115","0.402593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"117","0.403593","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"119","0.404592","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"121","0.405593","7.3.1","host","USB","72","","0000030002000000","URB_INTERRUPT in"
"123","0.406593","7.3.1","host","USB","72","","0000030001000000","URB_INTERRUPT in"
"125","0.407593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"127","0.408593","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
"129","0.409593","7.3.1","host","USB","72","","0000020002000000","URB_INTERRUPT in"
"131","0.410593","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"133","0.411593","7.3.1","host","USB","72","","0000040002000000","URB_INTERRUPT in"
"135","0.412593","7.3.1","host","USB","72","","0000010000000000","URB_INTERRUPT in"
"137","0.413593","7.3.1","host","USB","72","","0000030003000000","URB_INTERRUPT in"
"139","0.414593","7.3.1","host","USB","72","","0000040001000000","URB_INTERRUPT in"
